priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,rank_source,rank_source_version,rank_source_url,rank_source_license
387,drive,387,"[""ngsl-core""]","[""drive""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
388,along,388,"[""ngsl-core""]","[""along""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
389,type,389,"[""ngsl-core""]","[""type""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
390,sound,390,"[""ngsl-core""]","[""sound""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
391,eye,391,"[""ngsl-core""]","[""eye""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
392,music,392,"[""ngsl-core""]","[""music""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
393,game,393,"[""ngsl-core""]","[""game""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
394,political,394,"[""ngsl-core""]","[""political""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
395,free,395,"[""ngsl-core""]","[""free""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
396,receive,396,"[""ngsl-core""]","[""receive""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
397,moment,397,"[""ngsl-core""]","[""moment""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
398,sale,398,"[""ngsl-core""]","[""sale""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
399,policy,399,"[""ngsl-core""]","[""policy""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
400,further,400,"[""ngsl-core""]","[""further""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
